https://www.CryptoDataDownload.com,,,,,,,
unix,date,symbol,open,high,low,close,Volume BTC
1648363140000,2022-03-27 06:39:00,BTC/USDT,44680.98,44680.99,44670.47,44670.48,7.34756
1648363080000,2022-03-27 06:38:00,BTC/USDT,44680.99,44680.99,44678.98,44680.98,8.70888
1648363020000,2022-03-27 06:37:00,BTC/USDT,44674.55,44680.99,44666.37,44680.98,10.33517
1648362960000,2022-03-27 06:36:00,BTC/USDT,44685.28,44685.28,44674.54,44674.54,19.53308
1648362900000,2022-03-27 06:35:00,BTC/USDT,44702,44702,44685.27,44685.27,7.24207
1648362840000,2022-03-27 06:34:00,BTC/USDT,44717.72,44717.73,44698.62,44701.99,9.47818
1648362780000,2022-03-27 06:33:00,BTC/USDT,44697.12,44730,44697.11,44717.73,10.5293
1648362720000,2022-03-27 06:32:00,BTC/USDT,44711.78,44711.87,44697.11,44697.11,13.2271
1648362660000,2022-03-27 06:31:00,BTC/USDT,44715.47,44719.1,44711.58,44712.44,4.55426
1648362600000,2022-03-27 06:30:00,BTC/USDT,44705.49,44715.48,44705.48,44715.48,16.87618
1648362540000,2022-03-27 06:29:00,BTC/USDT,44688.92,44707.49,44684.03,44705.49,12.85032
1648362480000,2022-03-27 06:28:00,BTC/USDT,44701.32,44716,44676.86,44688.92,20.75549
1648362420000,2022-03-27 06:27:00,BTC/USDT,44699.99,44703.32,44699.99,44701.31,6.61691
1648362360000,2022-03-27 06:26:00,BTC/USDT,44700.13,44700.14,44694.85,44700,4.24601
1648362300000,2022-03-27 06:25:00,BTC/USDT,44717.25,44717.25,44689.08,44700.14,15.08938
1648362240000,2022-03-27 06:24:00,BTC/USDT,44716.01,44722.44,44716.01,44717.24,5.58762
1648362180000,2022-03-27 06:23:00,BTC/USDT,44721.21,44725.79,44716.01,44716.02,9.71599
1648362120000,2022-03-27 06:22:00,BTC/USDT,44694.99,44721.21,44694.99,44721.2,8.76814
1648362060000,2022-03-27 06:21:00,BTC/USDT,44693.54,44695,44692.5,44694.99,6.29058
1648362000000,2022-03-27 06:20:00,BTC/USDT,44686,44693.95,44686,44693.54,5.94952
1648361940000,2022-03-27 06:19:00,BTC/USDT,44687.23,44687.24,44686,44686,5.23557
1648361880000,2022-03-27 06:18:00,BTC/USDT,44689.87,44691.52,44687.23,44687.23,8.26638
1648361820000,2022-03-27 06:17:00,BTC/USDT,44681.16,44689.87,44681.16,44689.86,5.91185
1648361760000,2022-03-27 06:16:00,BTC/USDT,44685.04,44685.04,44681.16,44681.16,8.1092
1648361700000,2022-03-27 06:15:00,BTC/USDT,44693.27,44696.18,44685.03,44685.03,10.51649
1648361640000,2022-03-27 06:14:00,BTC/USDT,44685,44694.53,44685,44693.27,6.16932
1648361580000,2022-03-27 06:13:00,BTC/USDT,44665.99,44685.33,44665.99,44685.01,16.32911
1648361520000,2022-03-27 06:12:00,BTC/USDT,44654.59,44666.01,44654.58,44665.99,5.83718
1648361460000,2022-03-27 06:11:00,BTC/USDT,44654.59,44654.59,44654.58,44654.59,2.66418
1648361400000,2022-03-27 06:10:00,BTC/USDT,44666,44666.01,44654.58,44654.59,12.45351
1648361340000,2022-03-27 06:09:00,BTC/USDT,44661.57,44669.5,44660.37,44666,22.77392
